UPC,FC,Linked Asin,tt_id,
16000458918,BFL1,"['B00GABNR3A', 'B00Z9YTMZQ']",Exception,22:11.5
13562493982,MKC6,"['B076HST3SH', 'B07CSQTZ95']",559682180,22:14.3
13562289721,MCO1,"['B076HMT49K', 'B07CSSPRFG']",559684639,22:16.9
8.5177E+11,CAE1,"['B00J074W7Q', 'B013Q21NKE']",559682181,22:19.6
19800702083,LAS7,"['B01GFLZ4DU', 'B06X9SVCTS']",559681396,22:22.3
8.5177E+11,CLE2,"['B00J074W7Q', 'B013Q21NKE']",559686218,22:24.3
38000172755,PHX6,"['B077YQZLS5', 'B07GX2B28X']",559684353,22:26.4
38000172755,BFL1,"['B077YQZLS5', 'B07GX2B28X']",Exception,22:26.4
19800702083,MIA1,"['B01GFLZ4DU', 'B06X9SVCTS']",559683246,22:28.5
38000172755,IAH1,"['B077YQZLS5', 'B07GX2B28X']",Exception,22:28.5
16000480377,MKC6,"['B00LUK3H90', 'B01KX6089S']",559686509,22:31.3
16000486966,CLE2,"['B00KRFKEZY', 'B07CSSH68F']",559686703,22:33.4
79126315237,PHX6,"['B000HG84EQ', 'B0105MJ4E0']",559684354,22:35.5
79126315237,RDU1,"['B000HG84EQ', 'B0105MJ4E0']",559687297,22:37.6
16000485877,MEM4,"['B00GAQ2LVO', 'B07GB61TH2']",Exception,22:37.6
46500766497,PHX6,"['B0184LAVXW', 'B074G41HGM']",559687098,22:40.3
16000480377,LGB3,"['B00LUK3H90', 'B01KX6089S']",559685623,22:45.5
19800703318,MKE1,"['B01GFLZ14C', 'B074NB5VGH']",559684255,22:48.3
16000458918,CLE2,"['B00GABNR3A', 'B00Z9YTMZQ']",559681196,22:50.6
8.5177E+11,CLE3,"['B00J074W7Q', 'B013Q21NKE']",559684256,22:53.3
46500766497,PCW1,"['B0184LAVXW', 'B074G41HGM']",Exception,22:53.3
16000480377,MEM4,"['B00LUK3H90', 'B01KX6089S']",Exception,22:53.3
8.5177E+11,PSP1,"['B00J074W7Q', 'B013Q21NKE']",559687497,22:55.5
31600153100,CHA1,"['B000P8BC90', 'B010NPG1BS']",559685336,22:57.9
19800702083,CHA1,"['B01GFLZ4DU', 'B06X9SVCTS']",559687498,23:00.1
16000468139,TUL2,"['B0199RG9SQ', 'B01BK9O3D4']",559681994,23:02.7
16000420878,PHX6,"['B07CMCQ387', 'B07D3FSHSB']",559686706,23:04.8
8.5177E+11,DFW7,"['B00J074W7Q', 'B013Q21NKE']",559686219,23:07.1
